Country Region,Province State,Confirmed (SUM),Recovered (SUM)
China,Hainan,168,162
China,Guizhou,147,145
China,Guangxi,254,252
China,Guangdong,1588,1554
China,Gansu,139,137
China,Fujian,355,352
China,Chongqing,579,573
China,Beijing,593,538
China,Anhui,991,985
Chile,,14365,7710
Chad,,52,19
Central African Republic,,50,10
Canada,Yukon,11,0
Canada,Saskatchewan,366,0
Canada,Recovered,0,19231
Canada,Quebec,25761,0
Canada,Prince Edward Island,27,0
Canada,Ontario,16500,0
Canada,Nova Scotia,915,0
Canada,Northwest Territories,5,0
Canada,Newfoundland and Labrador,258,0
Canada,New Brunswick,118,0
Canada,Manitoba,273,0
Canada,Grand Princess,13,0
Canada,Diamond Princess,0,0
Canada,British Columbia,2053,0
Canada,Alberta,4850,0
Cameroon,,1705,915
Cambodia,,122,119
Cabo Verde,,114,2
Burundi,,11,4
Burma,,150,16
Burkina Faso,,638,476
Bulgaria,,1399,222
Brunei,,138,124
Brazil,,73235,32544
Botswana,,23,0
Bosnia and Herzegovina,,1585,682
Bolivia,,1014,98
Bhutan,,7,5
Benin,,64,33
Belize,,18,9
Belgium,,47334,10943
Belarus,,12208,1993
Barbados,,80,39
Bangladesh,,6462,139
Bahrain,,2811,1310
Bahamas,,80,23
Azerbaijan,,1717,1221
Austria,,15357,12580
Australia,Western Australia,550,495
Australia,Victoria,1354,1287
Australia,Tasmania,218,137
Australia,South Australia,438,420
Australia,Queensland,1034,934
Australia,Northern Territory,28,25
Australia,New South Wales,3016,2266
Australia,Australian Capital Territory,106,101
Armenia,,1867,866
Argentina,,4127,1162
Antigua and Barbuda,,24,11
Angola,,27,6
Andorra,,743,398
Algeria,,3649,1651
Albania,,750,431
Afghanistan,,1828,228
